Unidad;Participante;Descripción;Año;Periodo tarifario;GD_A_E0;GD_A_E1;GD_A_E2_A;GD_A_E2_B;GD_A_E3;GD_A_E4;GD_A_E5;GD_A_E6;GD_S_E0;GD_S_E1;GD_S_E2_A;GD_S_E2_B;GD_S_E3;GD_S_E4;GD_S_E5;GD_S_E6;ED_A_E0;ED_A_E1;ED_A_E2_A;ED_A_E2_B;ED_A_E3;ED_A_E4;ED_A_E5;ED_A_E6;ED_S_E0;ED_S_E1;ED_S_E2_A;ED_S_E2_B;ED_S_E3;ED_S_E4;ED_S_E5;ED_S_E6;AG_RE_TOTAL;DD_A_E0;DD_A_E1;DD_A_E2_A;DD_A_E2_B;DD_A_E3;DD_A_E4;DD_A_E5;DD_A_E6;DD_S_E0;DD_S_E1;DD_S_E2_A;DD_S_E2_B;DD_S_E3;DD_S_E4;DD_S_E5;DD_S_E6;DT_A_TOTAL;DT_S_TOTAL;CL_E0;CL_E1;CL_E2;CL_E3;CL_E4;CL_E5;CL_E6
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;1;22.411;11.881.279;3.865.513;7.270.234;32.226.134;274.980.497;0;0;0;328.930;3.662.209;48.913;725.019;1.853.254;0;0;0;47.389.047;266.313.215;120.418.833;558.476.082;431.155.463;0;1.584.344.669;0;1.284.000;20.366.765;2.143.589;10.748.477;10.801.569;0;7.873.797;446.382.460;0;527.969;13.713.136;92.305;6.241.107;199.471.369;0;0;22.518;5.983.952;74.936.191;3.787.418;38.237.553;211.674.986;0;0;6.730.482.493;1.748.828.234;3.868.713.551;448.419.128;2.491.038.312;623.326.606;347.917.292;0;236.040.420
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;2;36.483;15.561.793;5.016.618;11.034.231;43.727.162;361.507.925;0;0;0;446.316;4.912.887;58.086;1.058.027;2.695.502;0;0;0;61.853.996;293.709.001;170.515.752;750.344.818;602.012.646;0;2.284.044.109;0;1.630.089;25.141.044;3.066.944;15.431.828;18.019.537;0;12.048.813;326.351.180;0;357.600;18.119.698;308.484;8.701.496;265.051.290;0;0;28.997;8.067.803;101.908.960;4.517.415;53.419.715;273.928.094;0;0;8.856.880.922;2.488.770.843;4.915.553.421;556.116.834;3.127.410.287;853.804.633;482.373.640;0;352.332.377
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;3;12.122;5.888.570;2.144.796;4.830.867;15.757.517;156.256.098;0;0;752;189.625;2.091.641;34.359;471.618;1.826.242;0;0;0;32.299.858;169.578.750;87.798.007;389.620.207;337.195.094;0;1.257.368.709;0;824.952;13.967.809;1.595.190;7.420.518;9.681.919;0;4.825.463;231.686.184;0;275.393;8.358.174;108.535;4.237.232;129.406.835;0;0;14.211;3.529.832;45.399.922;2.246.899;24.546.358;135.373.749;0;0;4.135.845.323;1.379.729.192;2.261.208.496;286.399.502;1.600.604.458;437.543.819;246.971.015;0;189.523.452
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;4;20.172;9.559.987;3.530.051;7.873.575;26.029.456;249.143.636;0;0;1.031;320.687;3.418.486;55.901;780.818;3.091.891;0;0;0;53.061.415;283.833.353;146.172.672;650.470.469;566.343.584;0;2.198.690.758;0;1.367.458;23.269.963;2.746.608;12.240.389;15.448.036;0;7.348.723;392.260.515;0;378.208;13.628.972;269.413;6.869.507;205.739.248;0;0;21.814;5.737.310;73.068.268;3.465.691;39.889.307;223.625.947;0;0;6.612.733.438;2.398.632.798;3.552.154.728;471.064.647;2.623.642.640;728.584.616;413.619.032;0;319.087.956
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;5;28.010;14.380.985;5.425.595;8.275.316;49.106.362;309.057.030;0;0;242;448.512;4.851.647;80.639;1.032.979;3.000.448;0;0;0;76.644.763;424.093.014;217.850.021;892.188.559;701.924.265;0;2.591.354.555;0;2.496.037;34.527.830;6.468.730;23.020.150;4.290.569;0;12.560.535;612.928.729;0;646.215;17.927.465;241.853;15.651.777;284.559.963;0;0;31.957;8.199.254;109.310.252;5.247.785;51.301.376;340.994.397;0;0;9.620.036.951;2.849.120.925;5.026.245.306;684.012.416;3.807.497.020;1.059.340.168;620.429.913;0;484.869.320
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;6;157.329;76.365.815;28.173.761;46.681.875;220.473.482;1.523.905.195;0;0;2.577;2.136.041;24.837.407;425.879;5.110.423;16.538.689;0;0;0;295.099.104;1.378.460.340;901.923.884;3.787.999.867;3.290.561.099;0;11.902.168.529;0;8.374.140;158.631.013;16.099.746;97.108.217;76.605.465;0;73.739.540;1.221.105.399;0;1.250.689;82.703.701;2.297.560;68.599.275;1.196.569.738;0;0;152.949;36.600.011;415.516.385;18.794.356;223.302.078;1.355.654.499;0;0;37.153.218.678;13.053.720.680;18.970.650.402;2.190.017.722;13.470.747.541;4.394.848.448;2.891.080.212;0;2.487.661.843
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;1;215;0;4.274.833;0;61.712.904;180.886.325;0;0;30.645;132.430;1.714.786;8.736;243.518;18.739.086;0;0;0;336.455;122.283.419;0;414.100.002;225.665.679;0;376.969.836;0;23;4.161.842;0;4.273.604;547.722;0;3.389.793;68.874.113;5.369;72.353;34.455.387;2.685.238;4.061.852;170.318.823;0;0;0;435.028;89.093.034;2.258.761;14.335.606;189.198.044;0;0;2.206.552.137;588.608.310;1.298.071.111;0;765.430.691;212.776.086;56.168.444;8.514;364.649.287
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;2;260;0;5.732.212;0;87.698.841;218.597.675;0;0;42.187;216.720;2.820.393;12.361;357.080;24.953.341;0;0;0;498.473;168.027.733;0;600.683.435;327.205.764;0;487.672.047;0;28;5.666.749;0;5.710.874;745.496;0;5.717.263;49.769.533;7.026;197.362;47.881.438;4.355.683;5.679.750;222.334.901;0;0;0;208.714;118.570.376;2.969.565;20.919.192;261.397.996;0;0;2.967.033.543;780.247.121;1.712.732.260;0;954.081.030;288.296.376;78.125.692;12.878;563.301.916
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;3;145;0;2.649.963;0;37.564.968;94.686.031;0;0;19.759;18.060;1.034.716;7.343;167.825;11.571.519;0;0;0;131.400;82.008.217;0;298.814.943;179.790.212;0;289.475.398;0;278;2.740.733;0;2.365.861;263.529;0;2.477.251;36.677.494;3.580;53.985;21.633.154;2.027.898;2.388.309;107.280.095;0;0;0;258.576;56.018.919;1.424.690;10.554.999;124.792.305;0;0;1.344.099.355;444.898.464;764.650.976;0;483.282.452;143.974.506;41.979.344;5.892;261.119.231
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;4;243;0;4.292.166;0;60.683.025;144.438.865;0;0;32.673;32.330;1.729.943;11.941;287.968;18.982.366;0;0;0;220.756;135.366.889;0;503.234.113;304.957.122;0;473.842.390;0;416;4.570.787;0;3.853.216;351.546;0;4.365.108;59.294.971;5.660;98.870;35.294.520;3.344.338;3.519.609;183.526.265;0;0;0;351.787;90.283.316;2.348.115;17.981.738;201.029.956;0;0;2.200.694.819;728.171.188;1.241.208.260;0;791.621.676;239.508.000;87.289.657;11.212;437.667.987
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;5;323;0;6.193.698;0;82.864.479;160.399.317;0;0;57.603;0;2.845.197;15.482;402.304;30.471.207;0;0;0;635.796;198.063.388;0;682.261.363;409.379.190;0;655.079.846;0;49;6.256.306;0;4.969.525;736.772;0;5.929.507;94.999.670;7.977;170.532;55.108.829;2.929.132;6.427.736;266.549.188;0;0;0;630.715;126.730.846;3.175.481;24.388.287;282.608.996;0;0;3.172.305.918;983.215.601;1.731.976.216;0;1.142.010.078;343.712.680;127.330.085;11.985;650.944.451
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;6;1.288;0;30.281.348;0;378.574.149;657.563.387;0;0;253.943;389.240;12.490.642;74.078;2.161.140;145.546.401;0;0;0;2.187.570;696.506.353;0;3.059.586.657;1.760.865.742;0;2.490.347.709;0;2.202;28.254.368;0;24.845.323;3.825.845;0;38.031.629;187.659.339;37.381;1.513.567;192.901.522;15.712.761;26.346.994;1.102.108.340;0;0;0;918.790;493.653.760;13.509.778;109.897.446;1.238.290.034;0;0;12.951.445.218;4.070.242.978;6.736.492.357;0;3.909.929.247;1.474.686.072;588.176.590;64.010;3.202.916.798
R1-003;0033;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS S.A.;2.019;1;0;699.822;780.318;0;0;0;0;0;0;1.664;2.504;0;0;0;0;0;0;0;3.796.243;0;0;9.726.727;0;0;0;0;140.594;0;0;48.858;0;0;461.634;0;0;24.595.352;0;0;98.202.107;0;0;0;0;64.265;0;0;40.705.065;0;0;0;0;49.841.046;0;32.816.968;0;7.969.632;0;0
R1-003;0033;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS S.A.;2.019;2;0;1.000.783;1.186.847;0;0;0;0;0;0;2.402;3.628;0;0;0;0;0;0;0;6.017.999;0;0;14.709.378;0;0;0;0;114.934;0;0;59.149;0;0;448.960;0;0;32.724.404;0;0;132.655.676;0;0;0;0;128.492;0;0;59.080.962;0;0;0;0;66.055.003;0;42.399.569;0;11.096.878;0;0
R1-003;0033;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS S.A.;2.019;3;0;417.846;562.831;0;0;0;0;0;0;973;1.912;0;0;0;0;0;0;0;2.652.406;0;0;9.141.618;0;0;0;0;90.969;0;0;19.784;0;0;267.034;0;0;16.026.385;0;0;73.147.670;0;0;0;0;59.446;0;0;38.861.411;0;0;0;0;31.507.775;0;21.647.621;0;5.962.490;0;0
R1-003;0033;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS S.A.;2.019;4;0;680.634;939.884;0;0;0;0;0;0;1.654;3.200;0;0;0;0;0;0;0;4.266.426;0;0;16.434.582;0;0;0;0;113.209;0;0;24.393;0;0;421.816;0;0;25.680.788;0;0;119.417.875;0;0;0;0;114.499;0;0;65.586.477;0;0;0;0;50.140.117;0;35.274.204;0;10.110.343;0;0
R1-003;0033;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS S.A.;2.019;5;0;1.187.222;1.565.583;0;0;0;0;0;0;2.348;4.210;0;0;0;0;0;0;0;6.105.151;0;0;15.615.061;0;0;0;0;190.678;0;0;72.289;0;0;655.428;0;0;37.016.202;0;0;164.965.538;0;0;0;0;136.643;0;0;77.675.531;0;0;0;0;71.727.278;0;53.298.632;0;14.356.307;0;0
R1-003;0033;BARRAS ELÉCTRICAS GALAICO-ASTURIANAS S.A.;2.019;6;0;4.946.673;5.974.226;0;0;0;0;0;0;11.283;22.531;0;0;0;0;0;0;0;22.148.844;0;0;77.234.798;0;0;0;0;233.150;0;0;329.880;0;0;1.835.407;0;0;140.473.623;0;0;645.491.731;0;0;0;0;1.418.874;0;0;340.166.025;0;0;0;0;271.222.584;0;178.198.537;0;65.795.217;0;0
R1-005;0027;VIESGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;1;25.475;2.135.463;0;3.870.696;0;106.782.593;0;0;0;17.244;0;475.352;0;122.957;0;0;0;10.054.012;1.903.131;20.237.864;52.122.196;302.575.932;0;20.206.408;0;1.546.737;43.604;31.635;42.094;1.031.761;0;85.517;1.917.247;1.057.354;0;13.720;0;0;65.329.052;0;0;8.910;18.859;12.455.849;730.178;0;149.224.930;0;0;267.342.031;272.682.542;141.592.737;62.968.998;61.315.411;51.765.163;25.938.528;5.767;48.458.132
R1-005;0027;VIESGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;2;41.033;3.150.290;0;5.185.310;0;155.976.453;0;0;0;25.471;0;635.833;0;160.247;0;0;0;14.372.983;2.957.014;28.215.125;75.469.427;457.852.018;0;32.582.131;0;2.112.007;54.886;44.731;54.777;1.440.308;0;98.650;1.788.353;1.582.824;0;31.888;0;0;90.712.866;0;0;12.888;26.139;16.489.081;994.346;0;208.280.942;0;0;380.937.455;425.160.779;182.615.025;80.107.375;83.329.881;72.178.058;39.992.926;6.903;99.900.837
R1-005;0027;VIESGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;3;15.586;1.310.465;0;2.591.489;0;53.414.723;0;0;0;9.999;0;285.463;0;186.696;0;0;0;6.407.524;1.506.038;14.910.823;32.910.609;270.269.604;0;17.566.579;0;1.062.218;62.932;22.452;31.768;577.051;0;38.479;1.105.260;1.131.372;0;18.919;0;0;53.121.742;0;0;4.464;12.996;8.250.152;479.600;0;110.201.276;0;0;191.865.716;237.396.726;89.521.166;42.241.296;41.559.282;37.188.963;16.336.367;786;46.840.839
R1-005;0027;VIESGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;4;23.959;2.044.000;0;4.289.103;0;83.825.240;0;0;0;17.013;0;451.795;0;317.017;0;0;0;10.696.014;2.482.039;24.739.852;54.475.204;471.347.626;0;28.934.646;0;1.726.571;99.083;33.305;48.866;700.460;0;79.131;1.775.605;1.869.048;0;32.224;0;0;87.632.109;0;0;6.102;19.804;13.109.507;780.101;0;185.003.097;0;0;322.979.336;408.378.621;139.658.231;68.390.606;69.087.242;62.435.213;29.730.554;1.115;91.260.566
R1-005;0027;VIESGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;5;35.956;1.447.643;0;6.798.652;0;82.779.086;0;0;0;26.748;0;656.077;0;309.816;0;0;0;16.442.058;3.356.026;34.153.555;80.260.753;542.906.928;0;48.172.976;0;2.454.468;346.014;47.960;48.772;1.549.155;0;105.073;2.595.484;2.274.300;0;38.894;0;0;118.299.787;0;0;11.862;29.656;18.550.711;1.242.099;0;236.996.405;0;0;483.382.613;456.486.103;202.257.600;100.572.488;103.659.497;90.111.377;34.542.922;0;137.329.183
R1-005;0027;VIESGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;6;195.224;9.670.678;0;28.306.612;0;468.580.434;0;0;0;126.769;0;3.126.287;0;1.705.615;0;0;0;75.533.161;15.160.621;149.603.486;394.171.565;2.516.161.470;0;190.186.773;0;8.727.574;845.324;225.697;414.549;7.438.965;0;676.991;8.352.902;9.336.782;0;546.411;0;0;476.877.550;0;0;63.054;153.578;70.728.545;3.338.062;0;1.036.389.818;0;0;1.977.535.237;2.221.394.104;752.723.656;329.865.109;425.557.421;383.047.324;224.906.569;19.483;683.843.107
R1-008;0026;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.;2.019;1;11.780;92.239;1.041.769;553.409;13.329.425;110.325.999;0;0;0;0;163.571;0;626.086;8.310.361;0;0;0;0;28.301.719;0;0;28.828.689;0;0;0;0;1.177.008;0;0;242.189;0;0;2.094.235;8.910;26.746;1.238.024;730.178;2.520.080;132.770.583;0;0;1.057.354;0;1.371.414;0;1.064.500;3.757.320;0;0;429.646.344;35.128.607;210.844.522;89.293;118.044.096;3.243.870;28.587.220;0;312.271.408
R1-008;0026;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.;2.019;2;16.096;113.008;1.620.041;738.251;20.360.544;161.514.862;0;0;0;0;235.138;0;603.634;12.302.041;0;0;0;0;40.268.147;0;0;43.031.766;0;0;0;0;1.633.070;0;0;345.762;0;0;1.506.385;12.888;35.115;1.623.638;994.346;3.266.720;175.832.367;0;0;1.582.824;0;1.844.262;0;1.782.400;5.241.128;0;0;579.776.838;58.516.955;275.219.172;102.542;148.421.604;3.932.758;39.514.345;0;441.240.323
R1-008;0026;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.;2.019;3;8.170;59.632;1.054.939;325.728;8.602.317;65.022.746;0;0;0;13;90.248;358;292.350;7.261.624;0;0;0;0;21.504.909;0;0;26.216.781;0;0;0;0;801.799;0;0;134.084;0;0;996.824;4.464;6.547;760.106;479.600;1.617.430;82.467.055;0;0;1.131.372;0;889.835;0;855.830;4.535.617;0;0;280.538.548;27.559.102;131.652.806;54.090;76.446.705;2.604.702;19.564.662;0;199.480.260
R1-008;0026;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.;2.019;4;13.163;95.947;1.728.841;519.859;14.128.388;100.914.734;0;0;0;26;145.459;655;365.429;12.251.709;0;0;0;0;35.455.164;0;0;43.474.305;0;0;0;0;1.303.742;0;0;207.123;0;0;1.677.868;6.102;10.465;1.186.980;780.101;2.653.221;136.146.047;0;0;1.869.048;0;1.416.861;0;997.280;7.311.837;0;0;458.070.756;45.996.727;206.447.169;97.611;123.373.801;4.186.831;32.561.167;0;331.835.004
R1-008;0026;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.;2.019;5;19.471;154.564;2.438.942;913.627;16.739.318;109.710.363;0;0;0;0;255.383;0;524.278;14.287.610;0;0;0;0;47.048.881;0;0;55.745.444;0;0;0;0;1.967.224;0;0;262.049;0;0;2.725.017;11.862;29.398;1.724.159;1.242.099;4.107.840;190.099.690;0;0;2.274.300;0;1.996.038;0;633.460;7.225.074;0;0;713.039.225;39.339.788;297.719.701;145.290;182.025.368;6.308.542;51.890.165;0;502.259.977
R1-008;0026;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.;2.019;6;68.710;647.347;9.213.696;3.488.134;84.885.272;523.483.550;0;0;0;18;1.046.803;461;2.860.915;78.657.130;0;0;0;0;202.302.192;0;0;256.462.183;0;0;0;0;9.404.321;0;0;1.529.665;0;0;6.455.359;63.054;155.057;6.846.334;3.338.062;15.139.115;873.970.663;0;0;9.336.782;0;8.314.222;0;8.181.414;31.553.892;0;0;3.130.845.304;320.115.644;1.092.239.809;329.633;634.997.619;28.324.152;247.189.246;0;2.483.802.368
R1-009;0032;ELÉCTRICA CONQUENSE DISTRIBUCIÓN, S.A.U.;2.019;1;0;0;103.988;0;0;0;0;0;0;0;827;0;0;0;0;0;0;0;454.349;0;0;0;0;0;0;0;467;0;0;0;0;0;1.235.531;0;0;15.926.097;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;12.161.391;0;4.736.320;0;0;0;0
R1-009;0032;ELÉCTRICA CONQUENSE DISTRIBUCIÓN, S.A.U.;2.019;2;0;0;175.172;0;0;0;0;0;0;0;916;0;0;0;0;0;0;0;303.864;0;0;0;0;0;0;0;975;0;0;0;0;0;810.735;0;0;20.417.631;0;0;0;0;0;0;0;290;0;0;0;0;0;0;0;15.200.631;0;5.505.200;0;0;0;0
R1-009;0032;ELÉCTRICA CONQUENSE DISTRIBUCIÓN, S.A.U.;2.019;3;0;0;57.016;0;0;0;0;0;0;0;645;0;0;0;0;0;0;0;215.019;0;0;0;0;0;0;0;401;0;0;0;0;0;594.909;0;0;9.445.987;0;0;0;0;0;0;0;2.760;0;0;0;0;0;0;0;7.240.691;0;2.681.114;0;0;0;0
R1-009;0032;ELÉCTRICA CONQUENSE DISTRIBUCIÓN, S.A.U.;2.019;4;0;0;64.667;0;0;0;0;0;0;0;1.307;0;0;0;0;0;0;0;350.818;0;0;0;0;0;0;0;589;0;0;0;0;0;959.790;0;0;15.096.430;0;0;0;0;0;0;0;1.650;0;0;0;0;0;0;0;11.453.371;0;4.336.989;0;0;0;0
R1-009;0032;ELÉCTRICA CONQUENSE DISTRIBUCIÓN, S.A.U.;2.019;5;0;0;210.371;0;0;0;0;0;0;0;1.272;0;0;0;0;0;0;0;520.689;0;0;0;0;0;0;0;764;0;0;0;0;0;1.430.724;0;0;20.636.085;0;0;0;0;0;0;0;15.770;0;0;0;0;0;0;0;16.487.183;0;6.207.789;0;0;0;0
R1-009;0032;ELÉCTRICA CONQUENSE DISTRIBUCIÓN, S.A.U.;2.019;6;0;0;705.596;0;0;0;0;0;0;0;7.494;0;0;0;0;0;0;0;1.103.016;0;0;0;0;0;0;0;9.335;0;0;0;0;0;3.076.833;0;0;78.110.927;0;0;0;0;0;0;0;17.940;0;0;0;0;0;0;0;58.845.059;0;20.753.283;0;0;0;0
R1-014;0112;AGRI ENERGÍA ELÉCTRICA, S.A.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;387.953;0;0;0;0;0;15.747.193;0;0;0;0;0;0;0;1;0;0;0;0;9.633.828;0;5.422.450;0;0;0;0
R1-014;0112;AGRI ENERGÍA ELÉCTRICA, S.A.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;340.482;0;0;0;0;0;19.778.516;0;0;0;0;0;0;0;1;0;0;0;0;11.741.362;0;7.048.976;0;0;0;0
R1-014;0112;AGRI ENERGÍA ELÉCTRICA, S.A.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206.191;0;0;0;0;0;9.566.350;0;0;0;0;0;0;0;0;0;0;0;0;5.614.826;0;3.597.594;0;0;0;0
R1-014;0112;AGRI ENERGÍA ELÉCTRICA, S.A.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361.363;0;0;0;0;0;15.249.267;0;0;0;0;0;0;0;3;0;0;0;0;8.771.427;0;5.958.139;0;0;0;0
R1-014;0112;AGRI ENERGÍA ELÉCTRICA, S.A.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;531.207;0;0;0;0;0;22.147.641;0;0;0;0;0;0;0;0;0;0;0;0;12.455.402;0;8.924.813;0;0;0;0
R1-014;0112;AGRI ENERGÍA ELÉCTRICA, S.A.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.449.891;0;0;0;0;0;76.322.752;0;0;0;0;0;0;0;0;0;0;0;0;44.556.630;0;27.669.603;0;0;0;0
R1-015;0122;BASSOLS ENERGÍA, S.A.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.698.757;0;0;13.278.330;0;0;0;0;155.107;0;0;3.798;0;0;487.605;0;0;0;0;0;24.981.454;0;0;0;0;240.487;0;0;9.087.870;0;0;0;0;12.307.761;57.523;18.140.449;0;0;0;0
R1-015;0122;BASSOLS ENERGÍA, S.A.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.017.094;0;0;18.918.009;0;0;0;0;78.994;0;0;4.207;0;0;458.553;0;0;0;0;0;31.056.531;0;0;0;0;314.820;0;0;13.102.348;0;0;0;0;15.202.122;70.446;24.013.423;0;0;0;0
R1-015;0122;BASSOLS ENERGÍA, S.A.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.214.158;0;0;9.732.338;0;0;0;0;41.617;0;0;0;0;0;231.787;0;0;0;0;0;14.999.606;0;0;0;0;142.602;0;0;6.558.697;0;0;0;0;7.480.281;45.044;12.392.415;0;0;0;0
R1-015;0122;BASSOLS ENERGÍA, S.A.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.964.056;0;0;16.098.849;0;0;0;0;82.198;0;0;0;0;0;416.100;0;0;0;0;0;23.826.982;0;0;0;0;232.307;0;0;10.895.139;0;0;0;0;11.706.240;77.121;20.427.765;0;0;0;0
R1-015;0122;BASSOLS ENERGÍA, S.A.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.484.662;0;0;24.014.863;0;0;0;0;92.222;0;0;1.234;0;0;678.524;0;0;0;0;0;34.951.312;0;0;0;0;318.528;0;0;16.223.552;0;0;0;0;16.793.121;114.249;30.195.661;0;0;0;0
R1-015;0122;BASSOLS ENERGÍA, S.A.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.548.681;0;0;112.148.690;0;0;0;0;13.743.075;0;0;3.744;0;0;2.070.434;0;0;141.240;0;0;113.422.612;0;0;0;0;1.506.250;0;0;76.103.876;0;0;0;0;56.535.004;417.183;127.876.084;0;0;0;0
R1-016;0177;ELECTRA CALDENSE, S.A.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.520.530;0;8.138.443;0;3.265.191;0;0;0;0
R1-016;0177;ELECTRA CALDENSE, S.A.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.993.357;0;10.277.864;0;4.220.552;0;0;0;0
R1-016;0177;ELECTRA CALDENSE, S.A.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.647.675;0;4.774.056;0;2.238.518;0;0;0;0
R1-016;0177;ELECTRA CALDENSE, S.A.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.183.780;0;7.552.889;0;3.633.580;0;0;0;0
R1-016;0177;ELECTRA CALDENSE, S.A.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.387.183;0;10.641.617;0;5.314.882;0;0;0;0
R1-016;0177;ELECTRA CALDENSE, S.A.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101.910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.756.218;0;36.643.162;0;13.355.969;0;0;0;0
R1-017;0189;MAESTRAZGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283.446;0;0;0;0;0;0;0;2.316;0;0;0;0;0;1.221.808;0;0;435.682;480.823;1.679.258;2.358.137;0;0;0;0;1.166;875;0;0;0;0;0;0;4.897.632;1.861;1.192.740;0;0;0;0
R1-017;0189;MAESTRAZGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383.435;0;0;0;0;0;0;0;3.725;0;0;0;0;0;849.974;0;0;588.858;675.078;2.588.284;3.636.577;0;0;0;0;222;962;0;0;0;0;0;0;6.391.464;2.200;1.547.843;0;0;0;0
R1-017;0189;MAESTRAZGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191.924;0;0;0;0;0;0;0;1.401;0;0;0;0;0;583.787;0;0;166.563;266.667;1.048.553;1.609.338;0;0;0;0;0;0;0;0;0;0;0;0;2.856.009;1.185;754.818;0;0;0;0
R1-017;0189;MAESTRAZGO DISTRIBUCIÓN ELÉCTRICA, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298.969;0;0;0;0;0;0;0;2.338;0;0;0;0;0;1.023.572;0;0;259.456;416.721;1.747.417;2.777.243;0;0;0;0;0;0;2;0;0;0;0;0;4.727.908;1.897;1.334.415;0;0;0;0
