Unidad;Participante;Descripción;Año;Periodo tarifario;GD_A_E0;GD_A_E1;GD_A_E2_A;GD_A_E2_B;GD_A_E3;GD_A_E4;GD_A_E5;GD_A_E6;GD_S_E0;GD_S_E1;GD_S_E2_A;GD_S_E2_B;GD_S_E3;GD_S_E4;GD_S_E5;GD_S_E6;ED_A_E0;ED_A_E1;ED_A_E2_A;ED_A_E2_B;ED_A_E3;ED_A_E4;ED_A_E5;ED_A_E6;ED_S_E0;ED_S_E1;ED_S_E2_A;ED_S_E2_B;ED_S_E3;ED_S_E4;ED_S_E5;ED_S_E6;AG_RE_TOTAL;DD_A_E0;DD_A_E1;DD_A_E2_A;DD_A_E2_B;DD_A_E3;DD_A_E4;DD_A_E5;DD_A_E6;DD_S_E0;DD_S_E1;DD_S_E2_A;DD_S_E2_B;DD_S_E3;DD_S_E4;DD_S_E5;DD_S_E6;DT_A_TOTAL;DT_S_TOTAL;CL_E0;CL_E1;CL_E2;CL_E3;CL_E4;CL_E5;CL_E6
R1-204;0185;ELECTRA DE SANTA COMBA, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.466.700;0;10.646;0;0;0;0;0;113.423;0;10.714;0;0;0;0;0;937.607;0;274.030;0;0;0;0
R1-204;0185;ELECTRA DE SANTA COMBA, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.336.835;0;0;0;0;0;0;0;181.065;0;0;0;0;0;0;0;1.487.636;0;414.392;0;0;0;0
R1-204;0185;ELECTRA DE SANTA COMBA, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.375.571;0;0;0;0;0;0;0;266.433;0;0;0;0;0;0;0;2.131.345;0;604.629;0;0;0;0
R1-204;0185;ELECTRA DE SANTA COMBA, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.891.506;0;0;0;0;0;0;0;1.075.509;0;0;0;0;0;0;0;8.204.434;0;995.643;0;0;0;0
R1-205;0323;ICASA DISTRIBUCIÓN ENERGIA, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.148;0;0;0;0;0
R1-205;0323;ICASA DISTRIBUCIÓN ENERGIA, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.733;0;0;0;0;0
R1-205;0323;ICASA DISTRIBUCIÓN ENERGIA, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.496;0;0;0;0;0
R1-205;0323;ICASA DISTRIBUCIÓN ENERGIA, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.135;0;0;0;0;0
R1-205;0323;ICASA DISTRIBUCIÓN ENERGIA, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.688;0;0;0;0;0
R1-205;0323;ICASA DISTRIBUCIÓN ENERGIA, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.775;0;0;0;0;0
R1-206;0151;DISTRIBUCIONES ELÉCTRICAS DEL ERIA, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85.374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.991;0;0;0;0;0;0
R1-206;0151;DISTRIBUCIONES ELÉCTRICAS DEL ERIA, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113.153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96.306;0;0;0;0;0;0
R1-206;0151;DISTRIBUCIONES ELÉCTRICAS DEL ERIA, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.372;0;0;0;0;0;0
R1-206;0151;DISTRIBUCIONES ELÉCTRICAS DEL ERIA, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86.289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74.299;0;0;0;0;0;0
R1-206;0151;DISTRIBUCIONES ELÉCTRICAS DEL ERIA, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128.591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104.302;0;0;0;0;0;0
R1-206;0151;DISTRIBUCIONES ELÉCTRICAS DEL ERIA, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;599.595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511.279;0;0;0;0;0;0
R1-207;0165;DISTRIBUIDORA ELÉCTRICA ISABA, S.L.U.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150.768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150.017;0;0;0;0;0;0
R1-207;0165;DISTRIBUIDORA ELÉCTRICA ISABA, S.L.U.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208.469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197.795;0;0;0;0;0;0
R1-207;0165;DISTRIBUIDORA ELÉCTRICA ISABA, S.L.U.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92.766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.126;0;0;0;0;0;0
R1-207;0165;DISTRIBUIDORA ELÉCTRICA ISABA, S.L.U.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147.156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142.883;0;0;0;0;0;0
R1-207;0165;DISTRIBUIDORA ELÉCTRICA ISABA, S.L.U.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220.474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215.620;0;0;0;0;0;0
R1-207;0165;DISTRIBUIDORA ELÉCTRICA ISABA, S.L.U.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.016.800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;968.105;0;0;0;0;0;0
R1-208;0280;ENERFRIAS, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89.268;0;0;0;0;0;0
R1-208;0280;ENERFRIAS, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133.308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111.174;0;0;0;0;0;0
R1-208;0280;ENERFRIAS, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.149;0;0;0;0;0;0
R1-208;0280;ENERFRIAS, S.L.;2.019;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102.363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87.710;0;0;0;0;0;0
R1-208;0280;ENERFRIAS, S.L.;2.019;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158.327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137.748;0;0;0;0;0;0
R1-208;0280;ENERFRIAS, S.L.;2.019;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;775.787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;528.125;0;0;0;0;0;0
R1-210;0128;CENTRAL ELÉCTRICA SAN ANTONIO, S.L.;2.019;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.292.809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;955.331;0;264.778;0;0;0;0
R1-210;0128;CENTRAL ELÉCTRICA SAN ANTONIO, S.L.;2.019;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.711.498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.280.279;0;340.400;0;0;0;0
R1-210;0128;CENTRAL ELÉCTRICA SAN ANTONIO, S.L.;2.019;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777.088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;564.988;0;164.311;0;0;0;0
